date_time_execution,cod_metric,cod_original_query,cod_noise_kind,cod_search_context,value,qtd_judment_assumed_zero_relevance
2021-11-22 10:40:58,DCG@10,1136047,1,4,4.731973151785931,0
2021-11-22 10:40:58,DCG@10,1136962,1,4,24.264346434727205,0
2021-11-22 10:40:58,nDCG@10,23849,1,4,0.05490162180062975,0
2021-11-22 10:40:58,nDCG@10,42255,1,4,0.37291464931616275,0
2021-11-22 10:40:58,nDCG@10,47210,1,4,0.8662197873089202,0
2021-11-22 10:40:58,nDCG@10,67316,1,4,0.27246345699710156,0
2021-11-22 10:40:58,nDCG@10,118440,1,4,0.09478836436955079,2
2021-11-22 10:40:58,nDCG@10,121171,1,4,0.07336392209936006,9
2021-11-22 10:40:58,nDCG@10,135802,1,4,0.8630084885045989,0
2021-11-22 10:40:58,nDCG@10,141630,1,4,0.3310440361812822,0
2021-11-22 10:40:58,nDCG@10,156498,1,4,0.3408937879601314,0
2021-11-22 10:40:58,nDCG@10,169208,1,4,0.29495549945770944,0
2021-11-22 10:40:58,nDCG@10,174463,1,4,0.13234507098623355,0
2021-11-22 10:40:58,nDCG@10,258062,1,4,0.2200917662980802,0
2021-11-22 10:40:58,nDCG@10,324585,1,4,0.13886244387355454,1
2021-11-22 10:40:58,nDCG@10,330975,1,4,0.1845130834102271,0
2021-11-22 10:40:58,nDCG@10,332593,1,4,0.461143668299028,0
2021-11-22 10:40:58,nDCG@10,336901,1,4,0.3759063358712073,0
2021-11-22 10:40:58,nDCG@10,390360,1,4,0.46604515530269475,0
2021-11-22 10:40:58,nDCG@10,405163,1,4,0.7538142945344392,0
2021-11-22 10:40:58,nDCG@10,555530,1,4,0.0,0
2021-11-22 10:40:58,nDCG@10,583468,1,4,0.9068559294968371,0
2021-11-22 10:40:58,nDCG@10,640502,1,4,0.2172607128522299,0
2021-11-22 10:40:58,nDCG@10,673670,1,4,0.0,0
2021-11-22 10:40:58,nDCG@10,701453,1,4,0.8615706360990703,0
2021-11-22 10:40:58,nDCG@10,730539,1,4,0.40443179953242814,0
2021-11-22 10:40:58,nDCG@10,768208,1,4,0.6234275081936855,0
2021-11-22 10:40:58,nDCG@10,877809,1,4,0.30654074959623534,0
2021-11-22 10:40:58,nDCG@10,911232,1,4,0.2458989436720621,0
2021-11-22 10:40:58,nDCG@10,914916,1,4,0.69431067786686,0
2021-11-22 10:40:58,nDCG@10,938400,1,4,0.03144168089972574,0
2021-11-22 10:40:58,nDCG@10,940547,1,4,0.3231551713332269,0
2021-11-22 10:40:58,nDCG@10,997622,1,4,0.7791714369672127,0
2021-11-22 10:40:58,nDCG@10,1030303,1,4,0.9418799076113881,0
2021-11-22 10:40:58,nDCG@10,1037496,1,4,0.39877172153188584,0
2021-11-22 10:40:58,nDCG@10,1043135,1,4,0.575021597768257,0
2021-11-22 10:40:58,nDCG@10,1051399,1,4,0.0,0
2021-11-22 10:40:58,nDCG@10,1064670,1,4,0.708773221634434,0
2021-11-22 10:40:58,nDCG@10,1071750,1,4,0.38456386872957893,0
2021-11-22 10:40:58,nDCG@10,1105792,1,4,0.6058468396009462,0
2021-11-22 10:40:58,nDCG@10,1106979,1,4,0.6969915277837558,0
2021-11-22 10:40:58,nDCG@10,1108651,1,4,0.2863459897524692,0
2021-11-22 10:40:58,nDCG@10,1109707,1,4,0.5409974127240968,0
2021-11-22 10:40:58,nDCG@10,1110678,1,4,0.27118672915328457,0
2021-11-22 10:40:58,nDCG@10,1113256,1,4,0.6427790125974805,0
2021-11-22 10:40:58,nDCG@10,1115210,1,4,0.16099483637058798,0
2021-11-22 10:40:58,nDCG@10,1116380,1,4,0.0,0
2021-11-22 10:40:58,nDCG@10,1121353,1,4,0.4459826993653359,0
2021-11-22 10:40:58,nDCG@10,1122767,1,4,0.5959777381506514,0
2021-11-22 10:40:58,nDCG@10,1127540,1,4,0.9255702664733555,0
2021-11-22 10:40:58,nDCG@10,1131069,1,4,0.46927872602275655,0
2021-11-22 10:40:58,nDCG@10,1132532,1,4,0.04999525399306014,0
2021-11-22 10:40:58,nDCG@10,1133579,1,4,0.2470817534987822,0
2021-11-22 10:40:58,nDCG@10,1136043,1,4,0.38626502264192364,0
2021-11-22 10:40:58,nDCG@10,1136047,1,4,0.26769685441002194,0
2021-11-22 10:40:58,nDCG@10,1136962,1,4,0.7629118378410907,0
2021-11-22 10:40:59,DCG@10,23849,2,4,1.7461414348591218,0
2021-11-22 10:40:59,DCG@10,42255,2,4,7.0,0
2021-11-22 10:40:59,DCG@10,47210,2,4,24.41239210560242,0
2021-11-22 10:40:59,DCG@10,67316,2,4,7.315464876785729,0
2021-11-22 10:40:59,DCG@10,118440,2,4,3.0147359065137516,2
2021-11-22 10:40:59,DCG@10,121171,2,4,1.0,9
2021-11-22 10:40:59,DCG@10,135802,2,4,11.264460032702848,0
